"Rank","Name","Team","Bye","Pos","Age","Height","Weight","Andy","Jason","Mike"
"1","Bijan Robinson","ATL","11","RB","21.5","5' 11""","215 lbs","1","1","1"
"2","Jahmyr Gibbs","DET","9","RB","21.4","5' 9""","199 lbs","2","2","2"
"3","Jaxon Smith-Njigba","SEA","5","WR","21.5","6' 0""","197 lbs","3","3","3"
"4","Jordan Addison","MIN","13","WR","21.6","5' 11""","175 lbs","5","4","4"
"5","Quentin Johnston","LAC","5","WR","21.9","6' 4""","215 lbs","4","5","6"
"6","Zay Flowers","BAL","13","WR","22.9","5' 9""","182 lbs","6","6","5"
"7","Zach Charbonnet","SEA","5","RB","22.6","6' 1""","214 lbs","8","8","8"
"8","Anthony Richardson","IND","11","QB","22.2","6' 4""","244 lbs","15","7","7"
"9","Kendre Miller","NO","11","RB","21.2","6' 0""","220 lbs","11","10","10"
"10","De'Von Achane","MIA","10","RB","21.8","5' 9""","188 lbs","9","11","12"
"11","Rashee Rice","KC","10","WR","23.3","6' 1""","204 lbs","13","9","14"
"12","Dalton Kincaid","BUF","13","TE","23.8","6' 4""","240 lbs","7","19","11"
"13","Marvin Mims Jr.","DEN","9","WR","21.4","5' 11""","182 lbs","10","14","13"
"14","Jonathan Mingo","CAR","7","WR","22.3","6' 2""","220 lbs","20","13","9"
"15","Bryce Young","CAR","7","QB","22.1","5' 10""","204 lbs","14","15","16"
"16","C.J. Stroud","HOU","7","QB","21.9","6' 3""","218 lbs","16","16","15"
"17","Tyjae Spears","TEN","7","RB","22.9","5' 10""","200 lbs","21","12","21"
"18","Jayden Reed","GB","6","WR","23.3","5' 11""","187 lbs","23","18","18"
"19","Sam LaPorta","DET","9","TE","22.6","6' 3""","245 lbs","12","24","24"
"20","Michael Mayer","LV","13","TE","22.1","6' 4""","265 lbs","22","23","17"
"21","Tank Bigsby","JAX","9","RB","22","6' 0""","213 lbs","27","17","20"
"22","Roschon Johnson","CHI","13","RB","22.5","6' 0""","225 lbs","19","28","19"
"23","Cedric Tillman","CLE","5","WR","23.3","6' 3""","215 lbs","24","22","23"
"24","Josh Downs","IND","11","WR","22","5' 9""","171 lbs","17","30","25"
"25","Tank Dell","HOU","7","WR","23.8","5' 10""","165 lbs","26","27","22"
"26","Jalin Hyatt","NYG","13","WR","21.9","6' 0""","185 lbs","29","20","30"
"27","Hendon Hooker","DET","9","QB","25.6","6' 3""","221 lbs","18","25","43"
"28","Chase Brown","CIN","7","RB","23.4","5' 9""","215 lbs","30","29","28"
"29","Will Levis","TEN","7","QB","24.1","6' 4""","229 lbs","41","21","27"
"30","Luke Musgrave","GB","6","TE","23","6' 6""","253 lbs","25","33","31"
"31","Michael Wilson","ARI","14","WR","23.5","6' 2""","213 lbs","31","26","36"
"32","Israel Abanikanda","NYJ","7","RB","20.9","5' 11""","215 lbs","28","39","29"
"33","Luke Schoonmaker","DAL","7","TE","24.9","6' 5""","250 lbs","42","31","26"
"34","Zach Evans","LAR","10","RB","22.2","5' 11""","202 lbs","32","41","32"
"35","Evan Hull","IND","11","RB","22.8","5' 10""","209 lbs","33","45","33"
"36","Deuce Vaughn","DAL","7","RB","21.8","5' 6""","176 lbs","37","37","39"
"37","Tyler Scott","CHI","13","WR","21.9","5' 11""","185 lbs","45","38","34"
"38","DeWayne McBride","MIN","13","RB","22.1","5' 10""","209 lbs","35","49","38"
"39","Eric Gray","NYG","13","RB","23.8","5' 10""","210 lbs","36","43","44"
"40","Charlie Jones","CIN","7","WR","24.8","6' 0""","188 lbs","53","36","35"
"41","Tucker Kraft","GB","6","TE","22.8","6' 5""","259 lbs","40","46","40"
"42","Puka Nacua","LAR","10","WR","22.2","6' 2""","205 lbs","47","35","45"
"43","Sean Tucker","TB","5","RB","21.8","5' 10""","210 lbs","43","51","37"
"44","Darnell Washington","PIT","6","TE","22","6' 7""","264 lbs","34","56","42"
"45","Kayshon Boutte","NE","11","WR","21.3","6' 0""","197 lbs","39","55","41"
"46","Brenton Strange","JAX","9","TE","22.6","6' 3""","247 lbs","38","50","51"
"47","Parker Washington","JAX","9","WR","21.4","5' 10""","212 lbs","46","48","48"
"48","Dontayvion Wicks","GB","6","WR","22.2","6' 1""","206 lbs","50","44","50"
"49","Derius Davis","LAC","5","WR","22.9","5' 8""","165 lbs","56","34","56"
"50","Trey Palmer","TB","5","WR","22.4","6' 0""","192 lbs","52","42","52"
"51","Kenny McIntosh","SEA","5","RB","23.5","6' 0""","204 lbs","48","52","47"
"52","Xavier Hutchinson","HOU","7","WR","23.2","6' 3""","205 lbs","44","59","46"
"53","Chris Rodriguez Jr.","WAS","14","RB","22.9","5' 11""","224 lbs","51","47","54"
"54","Tre Tucker","LV","13","WR","22.4","5' 9""","185 lbs","61","32","61"
"55","A.T. Perry","NO","11","WR","23.8","6' 5""","205 lbs","49","58","49"
"56","Justin Shorter","BUF","13","WR","23.3","6' 4""","223 lbs","59","40","58"
"57","Mohamed Ibrahim","DET","9","RB","24.9","5' 8""","205 lbs","54","53","55"
"58","Andrei Iosivas","CIN","7","WR","23.8","6' 3""","212 lbs","55","61","53"
"59","Lew Nichols","GB","6","RB","22","5' 10""","220 lbs","58","54","60"
"60","Elijah Higgins","MIA","10","TE","22.8","6' 3""","235 lbs","60","57","59"
"61","Zack Kuntz","NYJ","7","TE","24.2","6' 8""","251 lbs","57","62","57"
"62","Cameron Latu","SF","9","TE","23.5","6' 5""","244 lbs","62","65","62"
"63","Demario Douglas","NE","11","WR","22.7","5' 8""","192 lbs","66","60","65"
"64","Rakim Jarrett","TB","5","WR","22.6","6' 0""","190 lbs","63","66","63"
"65","Keaton Mitchell","BAL","13","RB","21.6","5' 8""","191 lbs","65","63","67"
"66","Bryce Ford-Wheaton","NYG","13","WR","23.4","6' 3""","224 lbs","64","68","64"
"67","Will Mallory","IND","11","TE","24.2","6' 4""","239 lbs","67","69","66"
"68","Ronnie Bell","SF","9","WR","23.6","6' 0""","190 lbs","68","70","68"
"69","Tiyon Evans","","","RB","22.2","5' 11""","210 lbs","69","64","74"
"70","Jake Haener","NO","11","QB","24.4","6' 1""","200 lbs","70","72","69"
"71","Stetson Bennett","LAR","10","QB","25.8","5' 11""","190 lbs","74","67","71"
"72","Clayton Tune","ARI","14","QB","24.4","6' 3""","220 lbs","73","71","70"
"73","Payne Durham","TB","5","TE","23.2","6' 6""","253 lbs","71","73","72"
"74","Davis Allen","LAR","10","TE","22.5","6' 6""","245 lbs","72","74","73"